"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/23/2023","AQS","260650018","1","0.4","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"04/24/2023","AQS","260650018","1","0.4","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"04/25/2023","AQS","260650018","1","0.4","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"04/26/2023","AQS","260650018","1","0.4","ppb","0","LANSING / FILLEY STREET","22","92.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"04/27/2023","AQS","260650018","1","0.6","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"04/28/2023","AQS","260650018","1","1.9","ppb","1","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"04/29/2023","AQS","260650018","1","0.3","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"04/30/2023","AQS","260650018","1","0.2","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"05/01/2023","AQS","260650018","1","0.2","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
"05/02/2023","AQS","260650018","1","0.2","ppb","0","LANSING / FILLEY STREET","23","96.0000","42401","Sulfur dioxide","060","29620","Lansing-East Lansing, MI","26","Michigan","065","Ingham","42.76138","-84.562867"
